time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.942227220871978e-08,-9.693791091999166e-08,10.004263386311406,6.2829559282895815,9.592586289119964e-05,0.0,-8.364980660565795e-06,-1.4157966955662621e-05,0.14210503352352416,-0.01284419174493254,0.004618762595852397,0.0,449.7886422849053,450.16244309156167,450.66597065667185,449.62685156932355
0.12000000000000001,-3.746274120134635e-06,-8.233599317439853e-06,10.015454239482104,6.282452151965931,6.2830882866595505,0.0,-0.00012635936288002804,-0.0003197775864242769,0.23090892570208021,-0.0007244099625292955,-0.027461765064531598,0.0,434.0407927549185,431.340548538063,433.52576172520656,434.54285331875093
0.18,-2.4097596222792914e-06,-4.472226073692797e-05,10.035659163978764,6.282782875382658,6.281953717792966,0.0,0.0003311342520606444,-0.0008767702389696596,0.44252992770184063,0.01572948641289044,-0.0057385965660363865,0.0,470.52409829008053,472.2025847459844,470.1357657475995,471.4086298868129
0.23999999999999996,4.537979690416465e-05,-0.00010229685146836477,10.066301524108262,0.0005200961353128974,6.28184339075278,0.0,0.0012851537062550874,-0.0009421553719703561,0.5788223358392821,0.014657886045546312,0.0050003147561233485,0.0,447.9635982924105,448.83589914385004,448.6321627355779,448.5450569878403
0.3,0.00015016796969555276,-0.00014420284002616079,10.10481752630023,0.0013706330894365237,6.281899907765592,0.0,0.002187150484667226,-0.0003631540520481938,0.7049745072901492,0.01319323223699385,-0.00875133879674743,0.0,446.9146389093623,445.7925297208924,444.6799001825819,444.5598112319729
0.36000000000000004,0.00031682566604500915,-0.00012365075288178586,10.157026852682637,0.0025093479836568733,6.282629409377158,0.0,0.0033304421748419693,0.0011818647174966558,1.0350970035663478,0.02857658359099202,0.03673596699847948,0.0,503.9694721424634,507.2461538633737,504.26019339679203,505.3699915825814
0.4200000000000001,0.0005195534096315265,1.4873914860465557e-06,10.220577825177953,0.004462358618979145,0.0013820963535131625,0.0,0.0032299611184453472,0.0031631885682166273,1.0832235484770185,0.039501334647866766,0.02149367611682616,0.0,422.0722607951699,420.75531678133575,420.54950968058847,421.49506693870353
0.48000000000000015,0.0006827210848200414,0.000283933478813867,10.286833192661033,0.0066762391419050715,0.0026102024120477907,0.0,0.0020913444501678272,0.006466145663717984,1.1252467037395386,0.03110523933682715,0.01833500438224971,0.0,419.6333019078409,419.359059384184,419.47742456520785,418.74848278977856
0.5400000000000001,0.0007486821512855446,0.0008196720777947065,10.357747187170588,0.008294321702669194,0.0032104628654741063,0.0,8.394483534415959e-06,0.011573808090057891,1.2384353937885197,0.01704836274405169,-0.017151838427946604,0.0,443.73307257487,440.81057733390844,442.9993303328629,441.84225236658625
0.6000000000000002,0.0006839899223563378,0.0016973383062072762,10.43600025004107,0.009235592470509424,0.0021041863402135874,0.0,-0.0020506221756509606,0.017785368363843132,1.3698509525717035,0.012817796526111183,-0.021142681899241983,0.0,448.28477392182623,447.9604612170666,448.63633977332245,448.29264760786157
0.6600000000000003,0.0005188097733675191,0.002976887708040907,10.523081950995051,0.010668793204452243,0.0004601583624292971,0.0,-0.0032979600282875866,0.024993694755331263,1.532667247501956,0.03990729152590622,-0.044434349260434526,0.0,459.44094736804357,457.59046661481096,456.89912470889726,459.05362871018673
0.7200000000000003,0.00032172414417237175,0.004709457644880954,10.618353817401509,0.012767728373397347,6.280757576623092,0.0,-0.0029854328956965648,0.03299205533027355,1.6429065943270298,0.02265397865766201,-0.05679645232145841,0.0,443.0741103191628,442.0552188307715,443.0725933532843,441.6524840458454
0.7800000000000004,0.0001906423113600388,0.0068939531805614785,10.715017936809442,0.01398609799846362,6.27752691610101,0.0,-0.0011259096914624774,0.03992622080405473,1.5793188526620026,0.015140578360109614,-0.048513979755047475,0.0,384.73054867678997,385.51146016324645,383.9250292648888,383.2115920114173
0.8400000000000004,0.0002559765581068345,0.009597131159738315,10.813850484232939,0.01490355014987621,6.2757202274884385,0.0,0.0035404413943409254,0.05027481307273388,1.7149026345285991,0.015589756729275811,-0.007399256492013492,0.0,448.87613542625684,452.19942486596665,450.4583448235365,450.49455926675483
0.9000000000000005,0.0006433180820884161,0.012963391877361705,10.922253639222056,0.016223561083979376,6.275213252408584,0.0,0.009423051292475443,0.06206109359199339,1.8982469427333268,0.03245084675933973,-0.010637679223406582,0.0,465.50536207846983,465.25202122240046,464.8310539637741,466.1504070028657
0.9600000000000005,0.001371317684032037,0.017020429861066822,11.038597683126344,0.018039257844328027,6.274668749359705,0.0,0.014901027650919968,0.07335826042480754,1.9797460068410604,0.025478902706545518,-0.0061198546205161915,0.0,434.0311820630515,434.4102781426032,435.2056972790002,434.62210433358
1.0200000000000005,0.002461643846611672,0.021840513963602367,11.162574776833424,0.01947848806792507,6.274203541169401,0.0,0.02148720479717587,0.08747292655750419,2.1525106109057153,0.02082346294412941,-0.011239184216988052,0.0,463.8002224053117,463.39811755274957,462.9286835065913,462.5622800355661
1.0800000000000005,0.003922568276877212,0.02746085198776999,11.29294455821219,0.02062062033760803,6.273793924460888,0.0,0.027258961389242803,0.09998164745779356,2.1930683713500545,0.015196091874100008,0.0007915733103069679,0.0,421.68404729548615,422.7220914952405,422.58936877545796,422.1040090936603
1.1400000000000006,0.005728159048231055,0.03383660195582103,11.425004859685252,0.021377811846074124,6.273376961677661,0.0,0.03293623289106636,0.11261769417315518,2.2089087812884847,0.006893005764840291,-0.030690825268183466,0.0,415.03836521440763,412.2661045171812,415.1592738261988,414.4300280603778
